Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Project 02 - MVC Refactoring,Model File - Class Structure,Model class properly created with correct naming conventions,false,Excellent,Model class created with StudlyCaps naming and getData() method with camelCase and return type declaration,8,Good,Model class created with correct naming but missing return type declaration,6,Needs Improvement,Model class created but has naming convention issues,4,Poor,Model class not created or has major structural issues,0
Project 02 - MVC Refactoring,Model File - Database Operations,Database connection and query implementation in getData() method,false,Excellent,"Complete database connection code in getData(), proper PDO configuration with error mode and fetch mode, query retrieves all posts, returns fetchAll(PDO::FETCH_ASSOC)",12,Good,Database operations work but missing some PDO configuration options,9,Needs Improvement,Database connection present but query or return statement has issues,6,Poor,Database operations missing or non-functional,0
Project 02 - MVC Refactoring,View File - HTML Structure,Complete HTML document with proper structure,false,Excellent,"Complete HTML5 document structure with DOCTYPE, head, title, meta charset, and body",7,Good,HTML structure mostly complete with minor issues,5,Needs Improvement,HTML structure incomplete or missing key elements,3,Poor,View file not created or lacks basic HTML structure,0
Project 02 - MVC Refactoring,View File - Display Logic,Proper use of foreach loop and output escaping,false,Excellent,"foreach loop correctly displays posts, uses htmlspecialchars() for all output, uses $posts variable from controller",10,Good,Display logic works but missing htmlspecialchars() on some outputs,8,Needs Improvement,Display logic present but has issues with variable names or loop structure,5,Poor,Display logic missing or non-functional,0
Project 02 - MVC Refactoring,View File - Separation of Concerns,View contains only presentation code,false,Excellent,"View contains only HTML and display logic, no database code present",8,Good,View is mostly clean but has some minor logic that should be in controller,6,Needs Improvement,View has some database or business logic that should be elsewhere,4,Poor,View contains database connection code or significant business logic,0
Project 02 - MVC Refactoring,Controller File - Class Structure,Controller class properly created with index() method,false,Excellent,"Controller class with StudlyCaps naming, index() method with camelCase naming, proper structure",7,Good,Controller class created correctly but minor naming issues,5,Needs Improvement,Controller class has structural issues,3,Poor,Controller class not created or has major problems,0
Project 02 - MVC Refactoring,Controller File - MVC Flow,Proper coordination between Model and View,false,Excellent,"Requires model.php, creates Model instance, calls getData(), stores result in $posts, requires view.php in correct order",10,Good,MVC flow mostly correct but minor issues with variable names or order,8,Needs Improvement,MVC flow present but has significant issues,5,Poor,Controller does not properly coordinate Model and View,0
Project 02 - MVC Refactoring,Index File - Entry Point,Simplified index.php as clean entry point,false,Excellent,"index.php only requires controller.php, creates Controller instance, calls index() method - clean and simple (~5 lines)",5,Good,index.php works but has some unnecessary code,4,Needs Improvement,index.php works but contains database or HTML code,2,Poor,index.php not simplified or doesn't use Controller,0
Project 02 - MVC Refactoring,Functionality,Application works and produces correct output,false,Excellent,"Page displays all posts with titles and bodies, no errors, output identical to original script",5,Good,Page displays posts but has minor display issues,4,Needs Improvement,Page loads but missing data or has errors,2,Poor,Page doesn't load or has critical errors,0
Project 02 - MVC Refactoring,Code Quality,Overall code quality and standards,false,Excellent,"Proper indentation, clean formatting, no unused code, follows all PSR standards consistently",3,Good,Good code quality with minor formatting issues,2,Needs Improvement,Code works but has poor formatting or organization,1,Poor,Code is poorly formatted or has significant quality issues,0
