Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
"Project 07 - Content Management System (Posts CMS)","Posts Table & Indexes","`posts` table with id, author_id (FK to users), title, slug (unique), excerpt, body, featured_image (default), status enum, published_at, is_featured, favs, likes, comments_count, timestamps; indexes on status/published_at; seed records inserted",false,"Excellent","Schema matches spec; FK + unique slug; indexes present; seed inserted",10,"Good","Mostly correct; minor column/default/index mismatch; seed partial",8,"Poor","Missing table or major constraints",0
"Project 07 - Content Management System (Posts CMS)","Post Model & Helpers","`Post` extends `BaseModel` with correct `$table`, `$primaryKey`, `$fillable`; implements `findBySlug`, `recentFeaturedWithAuthors`, `findBySlugWithAuthor` using prepared statements",false,"Excellent","Model implemented with CMS fields and helper queries reused",10,"Good","Model present; minor property mismatch or helper gaps",8,"Poor","Model missing or helpers absent/unused",0
"Project 07 - Content Management System (Posts CMS)","Home: Featured Query & Limit","Home pulls 10 most recent featured, published posts, newest first (order by `published_at DESC`)",false,"Excellent","Published + is_featured + limit 10 + correct ordering",10,"Good","Works with one constraint missing or wrong ordering",8,"Poor","Not implemented or shows wrong dataset",0
"Project 07 - Content Management System (Posts CMS)","Home: Card Content","Each `<article class=\"box mb-4\">` shows featured image, title, author, time-ago, first 100 chars, and 'read more' link",false,"Excellent","All elements present, safely escaped",10,"Good","Missing one or two elements or minor escaping issues",8,"Poor","Minimal content or unsafe output",0
"Project 07 - Content Management System (Posts CMS)","Public Post Detail","Route `/posts/{slug}`; loads published post by slug; shows title, author, time-ago, image, body; 404 for missing/unpublished",false,"Excellent","Fully functional with safe output and 404s",10,"Good","Works with minor gaps (e.g., 404/author/time-ago)",8,"Poor","Missing or broken",0
"Project 07 - Content Management System (Posts CMS)","Admin Posts Index","Lists posts with title, status, featured flag, published_at; actions to Edit/Publish/Unpublish/Delete",false,"Excellent","Index renders with actions wired and CSRF on POST forms",10,"Good","List works; one action missing or CSRF gaps",8,"Poor","Missing index or actions",0
"Project 07 - Content Management System (Posts CMS)","Admin Create/Edit + Validation","Forms with CSRF; validates title/slug/status; unique slug; sets `published_at` when status is 'published'",false,"Excellent","Validations enforced; CSRF present; unique slug handled",10,"Good","Mostly correct; minor validation/CSRF gaps",8,"Poor","Missing or insecure",0
"Project 07 - Content Management System (Posts CMS)","Publish/Unpublish/Delete","POST endpoints with CSRF; publish sets status=published + `published_at=NOW()`; unpublish sets status=draft + clears `published_at`; delete marks status=deleted (soft delete)",false,"Excellent","All endpoints implemented with correct state changes and redirects",15,"Good","Most endpoints work; minor state/CSRF gaps",12,"Poor","Missing endpoints or incorrect state",0
"Project 07 - Content Management System (Posts CMS)","Admin Dropdown Navigation","Nav shows Admin dropdown for editors/admins; 'Manage Users' visible to admins; 'Manage Posts' to editors+admins",false,"Excellent","Dropdown shows correct options by role",5,"Good","Dropdown present but visibility/links slightly off",4,"Poor","Static nav; no dropdown or role awareness",0
"Project 07 - Content Management System (Posts CMS)","Code Quality & Standards","Thin controllers (no raw SQL); escaping in views; CSRF on state changes; consistent MVC structure",false,"Excellent","Consistent structure, safe output, and security practices",10,"Good","Generally good with minor issues",8,"Poor","Messy structure or insecure patterns",0
